,,,,,,
,,,,,,
,Starting SOC,,,,,
,100% (10 MWh),,,,,
,,,,,,
,,,,,,
,Date/Time,Hour Ending,WFTANK Real-Time LMP,WFTANK Day-Ahead LMP,RRS (spinning reserve),REGUP
,9/14/2023,14, $ 31.90 , $ 35.79 , $ 9.49 , $ 9.52 
,9/14/2023,15, $ 26.99 , $ 35.83 , $ 8.32 , $ 8.07 
,9/14/2023,16, $ 24.57 , $ 39.24 , $ 10.00 , $ 10.00 
,9/14/2023,17, $ 31.40 , $ 40.53 , $ 12.08 , $ 10.86 
,9/14/2023,18, $ 43.11 , $ 34.47 , $ 10.00 , $ 10.00 
,9/14/2023,19, $ 21.59 , $ 27.84 , $ 10.00 , $ 10.62 
,9/14/2023,20, $ (10.21), $ 17.59 , $ 10.00 , $ 8.00 
,9/14/2023,21, $ (2.36), $ 10.82 , $ 9.93 , $ 1.98 
,9/14/2023,22, $ 26.04 , $ 25.63 , $ 5.41 , $ 4.19 
,9/14/2023,23, $ 22.91 , $ 26.68 , $ 6.68 , $ 5.46 
,9/14/2023,24, $ 20.68 , $ 22.62 , $ 4.38 , $ 3.16 
,9/15/2023,1, $ 21.98 , $ 22.10 , $ 2.40 , $ 2.20 
,9/15/2023,2, $ 19.87 , $ 19.98 , $ 1.69 , $ 1.47 
,9/15/2023,3, $ 19.63 , $ 20.72 , $ 1.50 , $ 1.32 
,9/15/2023,4, $ 19.58 , $ 22.94 , $ 1.50 , $ 1.46 
,9/15/2023,5, $ 20.78 , $ 24.18 , $ 1.56 , $ 1.56 
,9/15/2023,6, $ 22.81 , $ 25.19 , $ 1.99 , $ 2.60 
,9/15/2023,7, $ 25.20 , $ 30.46 , $ 1.69 , $ 2.95 
,9/15/2023,8, $ 27.29 , $ 29.22 , $ 1.69 , $ 1.80 
,9/15/2023,9, $ 24.57 , $ 24.01 , $ 1.99 , $ 2.20 
,9/15/2023,10, $ 22.89 , $ 23.87 , $ 4.50 , $ 4.50 
,9/15/2023,11, $ 23.41 , $ 23.87 , $ 3.40 , $ 5.65 
,9/15/2023,12, $ 26.86 , $ 26.50 , $ 4.28 , $ 7.42 
,9/15/2023,13, $ 46.96 , $ 28.65 , $ 5.00 , $ 8.14 
,9/15/2023,14, $ 36.41 , $ 32.86 , $ 6.00 , $ 9.14 
,9/15/2023,15, $ 123.88 , $ 36.18 , $ 5.70 , $ 7.07 
,9/15/2023,16, $ 35.61 , $ 40.67 , $ 10.00 , $ 10.00 
,9/15/2023,17, $ 37.26 , $ 38.20 , $ 10.00 , $ 9.78 
,9/15/2023,18, $ 61.35 , $ 26.26 , $ 10.00 , $ 10.00 
,9/15/2023,19, $ 6.31 , $ 13.80 , $ 10.00 , $ 10.00 
,9/15/2023,20, $ (16.62), $ 8.39 , $ 8.00 , $ 7.00 
,9/15/2023,21, $ 30.95 , $ 4.15 , $ 7.72 , $ 1.98 
,9/15/2023,22, $ 27.99 , $ 18.18 , $ 5.76 , $ 5.00 
,9/15/2023,23, $ 14.79 , $ 26.30 , $ 6.04 , $ 5.16 
,9/15/2023,24, $ 24.54 , $ 24.34 , $ 4.66 , $ 3.96 
,9/16/2023,1, $ 22.80 , $ 23.51 , $ 2.30 , $ 2.30 
,9/16/2023,2, $ 20.74 , $ 23.02 , $ 1.80 , $ 1.80 
,9/16/2023,3, $ 19.93 , $ 23.78 , $ 1.50 , $ 1.50 
,9/16/2023,4, $ 20.35 , $ 23.40 , $ 1.36 , $ 1.36 
,9/16/2023,5, $ 19.74 , $ 22.92 , $ 1.48 , $ 1.48 
,9/16/2023,6, $ 18.64 , $ 23.10 , $ 1.56 , $ 1.95 
,9/16/2023,7, $ 18.38 , $ 25.26 , $ 1.50 , $ 2.50 
,9/16/2023,8, $ 17.43 , $ 24.94 , $ 1.50 , $ 1.83 
,9/16/2023,9, $ 18.19 , $ 23.65 , $ 1.69 , $ 2.02 
,9/16/2023,10, $ 20.50 , $ 23.36 , $ 3.19 , $ 3.72 
,9/16/2023,11, $ 22.80 , $ 23.64 , $ 3.00 , $ 4.00 
,9/16/2023,12, $ 37.51 , $ 24.32 , $ 3.69 , $ 5.67 
,9/16/2023,13, $ 29.89 , $ 28.07 , $ 4.99 , $ 6.70 
,9/16/2023,14, $ 38.33 , $ 29.95 , $ 5.00 , $ 6.98 
,9/16/2023,15, $ 24.55 , $ 29.10 , $ 5.00 , $ 5.93 
,9/16/2023,16, $ 23.31 , $ 29.91 , $ 8.00 , $ 8.33 
,9/16/2023,17, $ 24.87 , $ 29.08 , $ 7.49 , $ 7.49 
,9/16/2023,18, $ 23.96 , $ 28.66 , $ 10.00 , $ 10.49 
,9/16/2023,19, $ 26.29 , $ 40.93 , $ 10.00 , $ 11.00 
,9/16/2023,20, $ 49.59 , $ 71.66 , $ 10.00 , $ 9.00 
,9/16/2023,21, $ 27.92 , $ 43.29 , $ 10.00 , $ 1.98 
,9/16/2023,22, $ 32.45 , $ 35.65 , $ 7.49 , $ 6.73 
,9/16/2023,23, $ 32.61 , $ 32.92 , $ 7.72 , $ 6.60 
,9/16/2023,24, $ 27.25 , $ 27.81 , $ 5.44 , $ 4.92 
,9/17/2023,1, $ 28.40 , $ 30.50 , $ 3.49 , $ 3.49 
,9/17/2023,2, $ 24.71 , $ 27.86 , $ 2.60 , $ 2.60 
,9/17/2023,3, $ 24.72 , $ 26.27 , $ 1.50 , $ 1.75 
,9/17/2023,4, $ 21.69 , $ 25.32 , $ 1.50 , $ 1.67 
,9/17/2023,5, $ 19.66 , $ 24.47 , $ 1.50 , $ 1.83 
,9/17/2023,6, $ 20.97 , $ 24.11 , $ 1.95 , $ 2.34 
,9/17/2023,7, $ 22.53 , $ 25.09 , $ 1.56 , $ 2.56 
,9/17/2023,8, $ 22.79 , $ 24.00 , $ 1.51 , $ 1.84 
,9/17/2023,9, $ 18.86 , $ 20.11 , $ 1.69 , $ 2.02 
,9/17/2023,10, $ 17.33 , $ 19.85 , $ 3.02 , $ 3.55 
,9/17/2023,11, $ 19.07 , $ 21.87 , $ 2.91 , $ 3.41 
,9/17/2023,12, $ 22.74 , $ 22.78 , $ 3.50 , $ 5.00 
,9/17/2023,13, $ 24.81 , $ 26.41 , $ 4.99 , $ 6.32 
,9/17/2023,14, $ 36.62 , $ 30.48 , $ 5.00 , $ 8.00 
,9/17/2023,15, $ 26.91 , $ 31.94 , $ 7.40 , $ 7.91 
,9/17/2023,16, $ 42.14 , $ 37.46 , $ 10.00 , $ 10.88 
,9/17/2023,17, $ 40.13 , $ 40.18 , $ 10.00 , $ 10.33 
,9/17/2023,18, $ 43.34 , $ 51.15 , $ 15.91 , $ 16.43 
,9/17/2023,19, $ 483.25 , $ 106.17 , $ 22.00 , $ 24.00 
,9/17/2023,20, $ 81.16 , $ 144.66 , $ 17.59 , $ 17.59 
,9/17/2023,21, $ 73.09 , $ 46.71 , $ 10.00 , $ 1.98 
,9/17/2023,22, $ 30.08 , $ 37.59 , $ 10.00 , $ 8.57 
,9/17/2023,23, $ 29.53 , $ 30.80 , $ 6.14 , $ 5.32 
,9/17/2023,24, $ 23.31 , $ 25.77 , $ 5.00 , $ 4.35 
,9/18/2023,1, $ 21.55 , $ 21.02 , $ 1.80 , $ 1.80 
,9/18/2023,2, $ 19.89 , $ 18.60 , $ 1.50 , $ 1.46 
,9/18/2023,3, $ 17.34 , $ 17.43 , $ 1.02 , $ 1.02 
,9/18/2023,4, $ 16.31 , $ 16.84 , $ 1.01 , $ 1.01 
,9/18/2023,5, $ 15.45 , $ 16.77 , $ 1.20 , $ 1.33 
,9/18/2023,6, $ 16.17 , $ 17.48 , $ 1.50 , $ 1.95 
,9/18/2023,7, $ 18.52 , $ 20.28 , $ 1.50 , $ 2.10 
,9/18/2023,8, $ 18.12 , $ 19.96 , $ 1.50 , $ 1.83 
,9/18/2023,9, $ 14.60 , $ 17.70 , $ 1.69 , $ 1.96 
,9/18/2023,10, $ 16.01 , $ 17.33 , $ 2.91 , $ 3.44 
,9/18/2023,11, $ 32.55 , $ 19.15 , $ 2.91 , $ 3.45 
,9/18/2023,12, $ 19.82 , $ 22.84 , $ 3.29 , $ 4.72 
,9/18/2023,13, $ 19.88 , $ 35.56 , $ 3.74 , $ 5.59 
,9/18/2023,14, $ 22.16 , $ 36.23 , $ 5.54 , $ 6.98 
,9/18/2023,15, $ 27.48 , $ 38.98 , $ 7.00 , $ 7.33 
,9/18/2023,16, $ 28.18 , $ 44.95 , $ 9.99 , $ 10.32 
,9/18/2023,17, $ 41.69 , $ 48.68 , $ 10.00 , $ 10.00 
,9/18/2023,18, $ 28.97 , $ 46.29 , $ 10.00 , $ 10.52 
,9/18/2023,19, $ 56.06 , $ 64.12 , $ 10.00 , $ 12.86 
,9/18/2023,20, $ 53.12 , $ 62.01 , $ 10.00 , $ 10.33 
,9/18/2023,21, $ 32.56 , $ 30.95 , $ 8.40 , $ 1.98 
,9/18/2023,22, $ 24.27 , $ 26.40 , $ 5.26 , $ 5.00 
,9/18/2023,23, $ 17.94 , $ 21.13 , $ 5.39 , $ 5.00 
,9/18/2023,24, $ 15.19 , $ 18.32 , $ 3.99 , $ 3.99 
